Name,Type,Move Power,Move Time,PP,Duration,Range,Description,Scaling,Save
Absorb,Grass,STR DEX ,1 action,15,Instantaneous,Melee,You attempt to absorb some of a target's health. Make a melee attack. On a hit_ the creature takes grass damage. Half the damage done is restored by the user.,Higher Levels: The damage dice roll for this move changes to 2d4 at level 5_ 1d12 at level 10_ and 4d4 at level 17.,Missing
Accelerock,Rock,DEX ,1 bonus action,15,Instantaneous,Melee,You smash into a target at high speed. As a bonus action_ you can immediately move up to 10ft and make a melee attack against a creature in range without taking an attack of opportunity_ doing rock damage on a hit.,Higher Levels: The damage dice roll for this move changes to 1d6 at level 5_ 1d10 at level 10_ and 1d12 at level 17.,Missing
Acid Armor,Poison,CON ,1 action,10,1 minute_ Concentration,Self,You are surrounded by a shield of thick acid for the duration. During this time_ your AC increases by 2_ and any creature that hits you with a melee attack must succeed on a CON save or take poison damage.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 10,CON
Acid Spray,Poison,DEX CON ,1 action,10,1 minute,30ft,You spit a spray of acidic fluid that works to melt away a creature's defense. Make a ranged attack against a target_ dealing poison damage on a hit. On a hit_ the target must make a CON save against your Move DC. On a failure_ the target's AC is reduced by 1 for the duration. This decrease may be stacked on a creature_ up to a maximum of -3 to its AC.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,CON
Acid,Poison,DEX ,1 action,15,Instantaneous,Self (30ft cone),You create a stream of hot acid in a 30 foot cone_ centered on you. Creatures caught in the cone must make on a DEX save_ taking poison damage on a fail_ and half as much on a success.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Acrobatics,Flying,DEX ,1 action,5,Instantaneous,Melee,You nimbly attack a target with acrobatic prowess. Make a melee attack_ dealing flying damage on a hit. If you are holding an item when you activate this move_ the damage is halved.,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 6d6 at level 10_ and 7d8 at level 17.,Missing
Acupressure,Normal,Missing,1 action,20,1 minute,Self,"You apply pressure to different stress points on your body_ boosting a random ability for the duration. When activating this move_ roll a d6 and gain the following boost based on the result. When activated on subsequent turns_ any previous effect ends. 

<div style='column-count:2'>

| d6  | Effect |
|:---:|:-----------:|
|  1  | +1 to attack rolls |
|  2  | +2 to damage rolls |
|  3  | +10 temporary HP |

| d6  | Effect |
|:---:|:-----------:|
|  4  | +1 to saving throws |
|  5  | Critical Hit range +1 |
|  6  | +1 to Armor Class |

</div>",Missing,Missing
Aerial Ace,Flying,DEX ,1 action,5,Instantaneous,Melee,You dive at a creature with such speed that it is impossible for them to avoid. This move is guaranteed to hit for flying damage_ unless during the invulnerable stage of Fly_ Dig_ Bounce_ Dive_ etc. moves.,Higher Levels: The damage dice roll for this move changes to 1d10 at level 5_ 2d8 at level 10_ and 5d4 at level 17.,Missing
Aeroblast,Flying,STR DEX ,1 action,5,Instantaneous,Self (50ft line),You shoot out a powerful vortex of air that shreds through creatures. Any creature caught in a 50 foot line_ 5 feet wide_ must make a DEX save against your Move DC_ taking flying damage on a fail_ and half as much on a save.,Higher Levels: The damage dice roll for this move changes to 6d6 at level 5_ 8d6 at level 10_ and 7d12 at level 17.,DEX
After You,Normal,Missing,1 bonus action,3,Instantaneous,50ft,As a bonus action_ choose a creature in range that has not yet taken its turn in the current round. The target must immediately take its turn now_ and return to normal initiative order in the next round.,Missing,Missing
Agility,Psychic,Missing,1 bonus action,15,1 minute_ Concentration,Self,You hone your abilities and feel a surge of speed course through your veins. Increase your movement speed by 20 feet for the duration. Applicable to any movement type the creature has.,Missing,Missing
Air Cutter,Flying,DEX ,1 action,15,Instantaneous,30ft,You create a gust of razor-like wind to slash a creature. Make a ranged attack against a creature_ doing flying damage on a hit. This move scores a critical hit on 19 and 20.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Air Slash,Flying,DEX ,1 action,10,Instantaneous,30ft,You slash at a creature with a blade of sharp air. Make a ranged attack on a creature_ dealing flying damage on a hit. On a natural attack roll of 15 or higher_ the target flinches.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 2d12 at level 10_ and 6d6 at level 17.,Missing
Ally Switch,Psychic,Missing,1 action,10,Instantaneous,50ft,You use a strange psychic power to teleport yourself and one willing creature in range_ switching places on the battlefield.,Missing,Missing
Amnesia,Psychic,Missing,1 bonus action,10,1 minute,Self,Your mind elevates to a new level of focus. Add +2 to any saving throw you make for the duration_ but select one of your moves that is not Amnesia. You forget that move and cannot use it for the duration.,Missing,Missing
Anchor Shot,Steel,STR DEX ,1 action,15,Instantaneous,20ft,You attempt to entangle a target with your anchor chain while attacking. Choose a target within range and make a ranged attack on that creature_ dealing steel damage on a hit. On a hit_ the target becomes restrained and cannot flee or be switched out. The target may make a STR saving throw against your Move DC at the beginning of each of its turns to attempt to release themselves from the chain.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,STR
Ancient Power,Rock,STR DEX ,1 action,3,Instantaneous,Melee,You lash out with unknown inner power. Make a melee attack roll against a creature_ doing rock damage on a hit. On a natural attack roll of 19 or 20_ all of your ability scores go up by 1 while you remain in battle. This move can be stacked for a maximum of +5 to all ability scores.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Aqua Jet,Water,DEX ,1 bonus action,15,Instantaneous,Melee,You lunge at a creature with incredible speed. Choose a target within 10 feet of you. A burst of water propels you towards that creature_ avoiding all attacks of opportunity. Make a melee attack on that creature_ dealing water damage on a hit.,Higher Levels: The damage dice roll for this move changes to 1d6 at level 5_ 1d10 at level 10_ and 1d12 at level 17.,Missing
Aqua Ring,Water,Missing,1 bonus action,5,1 minute_ Concentration,Self,You surround yourself with a veil of healing water. At the end of each of your turns_ as long as you hold concentration_ regain a number of hit points equal to your proficiency bonus.,Missing,Missing
Aqua Tail,Water,STR DEX ,1 action,5,Instantaneous,Melee,You lash out with your tail to strike a creature. Make a melee attack_ dealing water damage on a hit.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Arm Thrust,Fighting,STR DEX ,1 action,10,Instantaneous,Melee,You unleash a flurry of fists on a creature. Make a melee attack roll_ doing fighting damage on a hit. After successfully hitting a target_ roll a d4. On a result of 3 or 4_ you may immediately hit again for an additional fighting damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll_ up to a maximum of four additional hits.,Higher Levels: The damage dice roll for this move changes to 1d6 at level 5_ 1d8 at level 10_ and 2d6 at level 17.,Missing
Aromatherapy,Grass,Missing,1 action,3,Instantaneous,Self (10ft radius),You release a pleasant aroma that empowers your allies. All allies within a 20 foot circle_ centered on you_ are cured of all negative status ailments.,Missing,Missing
Aromatic Mist,Fairy,Missing,1 action,5,1 minute,5ft,You release an aroma that inspires your allies. When you activate this move_ you and any ally within 5 feet of you may add a d4 to any saving throw they make for the duration.,Higher Levels: The bonus dice roll for this move changes to a 1d6 at level 10,Missing
Assist,Normal,Missing,1 bonus action,10,Varies,Varies,You call upon the help of another active creature in your party. When activating this Move_ another creature may immediately take an action in place of your own_ if you have not already taken an action this turn.,Missing,Missing
Assurance,Dark,STR DEX ,1 action,5,Instantaneous,Melee,You strike a creature where it already hurts. Make a melee attack against a creature_ dealing dark damage on a hit. If the target has already taken damage in the same round_ double the damage dice.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Astonish,Ghost,DEX WIS ,1 action,10,Instantaneous,20ft,You startle a creature with a loud shout . Make a ranged attack roll against a creature doing ghost damage on a hit. On a natural attack roll of 15 or more_ the target flinches.,Higher Levels: The damage dice roll for this move changes to 1d10 at level 5_ 2d8 at level 10_ and 5d4 at level 17.,Missing
Attack Order,Bug,STR DEX ,1 action,10,Instantaneous,20ft,You summon your underlings to attack a target. Make a ranged attack on a creature_ dealing bug damage on a hit. This move scores a critical hit on rolls of 19 or 20.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Attract,Normal,CHA ,1 reaction,5,Instantaneous,Self,As a reaction_ when dealt damage by an attack_ you may force the attacker to make a CHA save against your Move DC. On a fail_ the creature must roll the damage again and use the lower result.,Missing,CHA
Aura Sphere,Fighting,STR DEX ,1 action,5,Instantaneous,30ft,You focus your aura into a concentrated blast that strikes a creature in range. This move is guaranteed to hit for fighting damage_ except when targeting a creature in the invulnerable stages of Fly_ Dig_ Bounce_ etc.,Higher Levels: The damage dice roll for this move changes to 1d10 at level 5_ 2d8 at level 10_ and 5d4 at level 17.,Missing
Aurora Beam,Ice,STR DEX ,1 action,10,Instantaneous,80ft,You send a concentrated beam of freezing ice at a single creature in range. Make a ranged attack roll_ doing ice damage on a hit. On natural attack rolls of 15 or higher_ the target has disadvantage on any attack it makes on its next turn.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Aurora Veil,Ice,Missing,1 bonus action,3,3 rounds (Concentration),Self,You use the environment to create a shield of ice around your body. Only able to be activated while it is hailing_ this move can be used as a bonus action to halve all damage dealt to you for three rounds.,Missing,Missing
Autotomize,Steel,Missing,1 action,10,1 minute,Self,You shed away part of your body to make yourself lighter and increase your speed. For the duration_ your speed increases by 10 feet. This move may be stacked to a maximum speed increase of 30 feet.,Missing,Missing
Avalanche,Ice,STR ,1 action,5,Instantaneous,30ft,You send forth a heap of powerful snow to pummel a creature. Make a ranged attack on a target_ dealing ice damage on a hit. If the target has dealt any damage to you since the end of your last turn_ double the damage you deal.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Baby-Doll Eyes,Fairy,Missing,1 reaction,3,Instantaneous,30ft,You quickly widen your eyes in an attempt to charm a creature_ decreasing their will to fight. When you or an ally in range are targeted by a Move that requires an attack roll_ you may use a reaction to impose disadvantage on the roll.,Missing,Missing
Baneful Bunker,Poison,Missing,1 reaction,3,Instantaneous,Self,You sense incoming danger and are able to quickly create a barrier to avoid it.Â  When targeted by an attack_ you may automatically avoid taking damage on the first instance of this reaction. If Baneful Bunker was successful in avoiding' a melee attack_ the attacker becomes poisoned.Â  On future instances of this move in the same combat_ you must roll higher than a 15 on a d20 roll for the reaction to be successful.,Missing,Missing
Barrage,Normal,STR DEX ,1 action,10,Instantaneous,30ft,Make a ranged attack on a creature_ rolling on a hit. You attack with a barrage of ranged strikes equal to the number shown. Each projectile deals normal damage.,Higher Levels: Each projectile that hits deals 1d6 at level 5_ 2d4 at level 10_ and 2d6 at level 17.,Missing
Barrier,Psychic,Missing,1 action,10,1 minute_ Concentration,Self (5ft radius),You create a transparent shield of psychic energy. While active_ the barrier grants +2 to AC for you and any companions within 5 feet of you for the duration.,Missing,Missing
Baton Pass,Normal,Missing,1 bonus action,5,Instantaneous,Self,As a bonus action_ you may switch out_ passing along all negative status effects or stat changes to the new creature. This includes existing battle effects from moves such as Substitute_ Swords Dance_ Ingrain_ Aqua Ring_ etc. Effects from moves that require concentration may also be transferred_ with concentration now dependent on the new creature.,Missing,Missing
Beak Blast,Flying,STR DEX ,1 action,10,Instantaneous,Melee,You heat up your beak and strike out at a target. When you activate this move_ you spend your action to charge up your beak. If you are hit with a melee attack before the action of your next turn_ the target is burned. On your next turn_ spend an action to make a melee attack on a creature_ dealing flying damage on a hit.,Higher Levels: The damage dice roll for this move changes to 5d6 at level 5_ 4d12 at level 10_ and 8d8 at level 17.,Missing
Beat Up,Dark,STR ,1 action,5,Instantaneous,Melee,You use strength in numbers to attack a creature. Make a melee attack on a creature_ and an additional attack for any other conscious creature your trainer is currently carrying_ dealing dark damage on each hit.,Higher Levels: The damage dice roll for this move changes to  at level 5_  at level 10_ and  at level 17.,Missing
Belch,Poison,STR CON ,1 action,5,Instantaneous,15ft,You let out a damaging belch at a creature in range. Force the creature to make a CON save against your Move DC_ taking poison damage on a failure_ or half as much on a success. If you are holding a berry when activating this move_ you may consume it and force the target to automatically fail the saving throw.,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 4d10 at level 10_ and 7d8 at level 17.,CON
Belly Drum,Normal,Missing,1 action,5,While in battle,Self,You sacrifice health for attack. When using this move_ decrease your current HP by half your maximum_ but increase your Strength score by 10 while you remain in battle. The effect ends if your current HP rises above half your maximum.,Missing,Missing
Bestow,Normal,Missing,1 bonus action,3,Instantaneous,30ft,As a bonus action_ you may pass your held item to a willing creature in range_ if the target is not currently holding an item.,Missing,Missing
Bide,Normal,STR DEX ,1 action,5,2-3 rounds,50ft,You embrace the damage done to you_ waiting for your time to strike. Use your attack action to activate this move_ and keep track of all damage done to you before your next turn. On your next turn_ you use your action to lash out at a target with a normal ranged attack_ striking them for double the amount of typeless damage you took on a successful hit. At 10th Level_ you can choose to hold Bide for a second turn for the chance to add additional damage to the attack.,Higher Levels: You may continue to stockpile damage for 2 turns at level 10 and above.,Missing
Bind,Normal,STR ,1 action,15,Instantaneous,Melee,You attempt to grapple a target into submission. Make a melee attack roll. On a hit_ the target takes normal damage and is grappled. At the beginning of each of its turns_ it may attempt to escape with a STR save against your Move DC. While a creature is grappled_ you may continue this move_ as a bonus action_ to do an automatic normal damage without having to make an attack roll.,Higher Levels: The damage dice rolls for this move change to 1d6 at level 5_ 1d8 at level 10_ and 2d6 at level 17.,STR
Bite,Dark,STR DEX ,1 action,15,Instantaneous,Melee,You sink your teeth into a target creature. Make a melee attack roll_ doing dark damage on a successful hit. On natural attack rolls of 19 or 20_ the target flinches,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Blast Burn,Fire,STR DEX ,1 action_ recharge,3,Instantaneous,50ft,Explosive projectiles rain down upon creatures in a 10 foot radius_ centered on a point within range. Any creature caught in the blast must make a DEX save against your Move DC_ taking fire damage on a fail and half as much on a success. This move saps you of energy_ and may not activate it again until after the end of your next turn.,Higher Levels: The damage dice roll for this move changes to 5d6 at level 5_ 4d12 at level 10_ and 8d8 at level 17.,DEX
